iter	RMSE
150	7.089999092
151	7.067398401
152	7.038803829
153	7.027657334
154	7.003367913
155	6.976220726
156	6.952523936
157	6.936435286
158	6.921597848
159	6.892116763
160	6.863236098
161	6.854246236
162	6.826297882
163	6.82548744
164	6.820331169
165	6.782578273
166	6.769578731
167	6.742073986
168	6.72042029
169	6.705005072
170	6.667868254
171	6.647169769
172	6.62700415
173	6.605110604
174	6.602260987
175	6.584814062
176	6.577609573
177	6.539321888
178	6.517045987
179	6.506353204
180	6.488366394
181	6.486170099
182	6.460769583
183	6.436240473
184	6.423449426
185	6.410526382
186	6.409609217
187	6.406678177
188	6.383023264
189	6.352857476
190	6.328424443
191	6.309703993
192	6.279520138
193	6.254119417
194	6.248081304
195	6.228713198
196	6.210733925
197	6.20149039
198	6.181114247
199	6.149571526
200	6.135205137
201	6.120869717
202	6.105835121
203	6.090685976
204	6.070333175
205	6.051181865
206	6.040771378
207	6.02092802
208	6.00232613
209	6.002104486
210	5.987788682
211	5.972856045
212	5.972645598
213	5.950699465
214	5.934619304
215	5.917984237
216	5.905885931
217	5.88878844
218	5.879556021
219	5.871251282
220	5.855091349
221	5.834050832
222	5.814094393
223	5.801689992
224	5.781937531
225	5.77212457
226	5.75968106
227	5.744632581
228	5.729884161
229	5.716659053
230	5.706653457
231	5.692879273
232	5.681955089
233	5.663733202
234	5.647586447
235	5.644151872
236	5.637888698
237	5.623803368
238	5.607152929
239	5.595444719
240	5.582871784
241	5.567074678
242	5.554056099
243	5.544310695
244	5.534903158
245	5.507745166
246	5.482914432
247	5.469238256
248	5.456925002
249	5.438561311
250	5.419215601
251	5.408347319
252	5.39549892
253	5.387208582
254	5.376312317
255	5.367112908
256	5.351863163
257	5.337210387
258	5.33035056
259	5.322365596
260	5.313894209
261	5.310345684
262	5.310138498
263	5.303501219
264	5.290021059
265	5.277915248
266	5.259226071
267	5.250749232
268	5.242143446
269	5.241902669
270	5.231166228
271	5.206694776
272	5.197029249
273	5.189592095
274	5.176963888
275	5.157563736
276	5.139095526
277	5.114832134
278	5.109645544
279	5.092635812
280	5.079972862
281	5.062120541
282	5.054115089
283	5.046589737
284	5.038758102
285	5.038543848
286	5.022541825
287	5.013290042
288	5.000180693
289	4.984610597
290	4.978728329
291	4.969682929
292	4.963034591
293	4.937517085
294	4.932409137
295	4.926486743
296	4.918747702
297	4.91856177
298	4.904727119
299	4.896834273
300	4.872343362
301	4.868174911
302	4.860417486
303	4.852454479
304	4.843833259
305	4.8383237
306	4.829669725
307	4.823592897
308	4.821558692
309	4.811439196
310	4.794593006
311	4.794412867
312	4.782967675
313	4.776258316
314	4.765237799
315	4.748050946
316	4.734775582
317	4.72502098
318	4.71717047
319	4.701975008
320	4.700394452
321	4.694123802
322	4.684871929
323	4.684528869
324	4.668555584
325	4.662158435
326	4.652065045
327	4.643992814
328	4.640001241
329	4.633496106
330	4.62255989
331	4.612363863
332	4.603653442
333	4.600810501
334	4.594486314
335	4.583787466
336	4.579655208
337	4.574689709
338	4.557796755
339	4.548891333
340	4.539142806
341	4.5309799
342	4.530811743
343	4.512130038
344	4.50269987
345	4.491590292
346	4.482543685
347	4.473966159
348	4.463451402
349	4.460408678
350	4.454990379
351	4.443796542
352	4.437371453
353	4.428980687
354	4.422198698
355	4.412082139
356	4.403716072
357	4.397988825
358	4.388273905
359	4.377098728
360	4.368365301
361	4.355100759
362	4.35106178
363	4.343634953
364	4.330711932
365	4.330640641
366	4.311892973
367	4.309131952
368	4.305201541
369	4.299918521
370	4.293067004
371	4.286465822
372	4.272406677
373	4.264890157
374	4.259427378
375	4.254876814
376	4.249904623
377	4.241511731
378	4.23435071
379	4.233946656
380	4.220218492
381	4.209705992
382	4.201554535
383	4.189969072
384	4.187129544
385	4.179570306
386	4.174464386
387	4.166870315
388	4.159952537
389	4.158308339
390	4.145904326
391	4.139298414
392	4.134450066
393	4.132535143
394	4.126018162
395	4.117908402
396	4.112811499
397	4.104363768
398	4.089580786
399	4.084667758
400	4.077953506
401	4.065855647
402	4.06574438
403	4.050520721
404	4.045627921
405	4.037623364
406	4.024361224
407	4.013335031
408	4.013018669
409	4.008117787
410	4.00061591
411	3.991179008
412	3.984343249
413	3.976999309
414	3.960646138
415	3.952370313
416	3.947292378
417	3.936951961
418	3.932661238
419	3.925816079
420	3.917362333
421	3.913857773
422	3.905880741
423	3.897993062
424	3.89400947
425	3.888239847
426	3.884746632
427	3.87548412
428	3.871520017
429	3.85523659
430	3.851832924
431	3.84327057
432	3.834636762
433	3.818624316
434	3.813445707
435	3.808621161
436	3.800283375
437	3.793996833
438	3.770794635
439	3.763152215
440	3.759148703
441	3.752816833
442	3.750766572
443	3.740525021
444	3.734047757
445	3.72720821
446	3.723427776
447	3.718978404
448	3.712355802
449	3.705724344
450	3.702384085
451	3.693108647
452	3.689287867
453	3.680652664
454	3.673094513
455	3.664952691
456	3.661749524
457	3.651565386
458	3.648181409
459	3.640150739
460	3.633608435
461	3.630107708
462	3.625993476
463	3.617317045
464	3.614485216
465	3.606600917
466	3.599094469
467	3.598426419
468	3.597529012
469	3.590158539
470	3.583638937
471	3.579361659
472	3.573300723
473	3.570228279
474	3.565211936
475	3.556283408
476	3.550432029
477	3.546102791
478	3.538558753
479	3.534353499
480	3.530402307
481	3.528121364
482	3.522804424
483	3.519968739
484	3.516222582
485	3.509929881
486	3.505026548
487	3.500311569
488	3.495670218
489	3.491585411
490	3.483937688
491	3.477729921
492	3.473440955
493	3.468983404
494	3.464426096
495	3.464370994
496	3.457714189
497	3.455881897
498	3.450378853
499	3.444515034
500	3.433466731
501	3.423802328
502	3.416601779
503	3.405889679
504	3.403911241
505	3.400692286
506	3.393931578
507	3.393214024
508	3.388778576
509	3.386934321
510	3.383134847
511	3.378287805
512	3.369169321
513	3.364353161
514	3.359524276
515	3.352389895
516	3.349090047
517	3.344437776
518	3.334220328
519	3.330102541
520	3.325986535
521	3.321553004
522	3.32143876
523	3.319744925
524	3.315804582
525	3.310833958
526	3.308412645
527	3.304358025
528	3.298122748
529	3.289164863
530	3.278313327
531	3.274194418
532	3.270727381
533	3.268539279
534	3.266520631
535	3.260077155
536	3.257506139
537	3.253096422
538	3.248270895
539	3.246201895
540	3.238466503
541	3.233483103
542	3.231068354
543	3.225117413
544	3.219935474
545	3.217855201
546	3.215405539
547	3.207773479
548	3.202723297
549	3.195168049
550	3.183988232
551	3.177339349
552	3.171042907
553	3.168031777
554	3.166568869
555	3.161161721
556	3.156796951
557	3.152334281
558	3.14442913
559	3.137513285
560	3.131117014
561	3.12105453
562	3.116616934
563	3.110877352
564	3.103537652
565	3.101399963
566	3.097118718
567	3.095736734
568	3.091744583
569	3.085204929
570	3.078160938
571	3.071525346
572	3.058736414
573	3.05562263
574	3.048652844
575	3.041003582
576	3.039836539
577	3.035037005
578	3.025369405
579	3.022468077
580	3.013444143
581	3.011221839
582	3.008540189
583	3.006552429
584	2.998128437
585	2.992292676
586	2.99119289
587	2.986149252
588	2.983580882
589	2.979812754
590	2.974239395
591	2.973771058
592	2.970264164
593	2.967394062
594	2.963892665
595	2.961998248
596	2.959823211
597	2.955134434
598	2.946518451
599	2.941531519
600	2.938729082
601	2.931107043
602	2.926671202
603	2.923022518
604	2.921100029
605	2.912689859
606	2.911424527
607	2.909046557
608	2.903329514
609	2.901158689
610	2.895042999
611	2.894370734
612	2.88869253
613	2.885424244
614	2.88141033
615	2.871024515
616	2.870940289
617	2.867248367
618	2.860276357
619	2.858610463
620	2.854992075
621	2.846201239
622	2.842964756
623	2.835892483
624	2.831644111
625	2.829364028
626	2.825394669
627	2.81446137
628	2.812004474
629	2.809112175
630	2.807846043
631	2.803107663
632	2.79489921
633	2.791526873
634	2.787847994
635	2.785233411
636	2.78002198
637	2.776892377
638	2.77216524
639	2.768607442
640	2.763244098
641	2.754978617
642	2.752219316
643	2.748262305
644	2.745137054
645	2.741705336
646	2.740173783
647	2.736204223
648	2.732093124
649	2.727920081
650	2.726112449
651	2.72329188
652	2.719798055
653	2.715786494
654	2.712460075
655	2.712302261
656	2.709388938
657	2.708033196
658	2.702549663
659	2.697726445
660	2.693973612
661	2.689460507
662	2.682718869
663	2.67876272
664	2.675223857
665	2.669982692
666	2.668728141
667	2.663439307
668	2.660032581
669	2.659008633
670	2.656101868
671	2.650732326
672	2.648401263
673	2.64514012
674	2.641655438
675	2.636391209
676	2.634547427
677	2.630581754
678	2.628986421
679	2.624583068
680	2.621174273
681	2.614893522
682	2.6122857
683	2.61046084
684	2.60618486
685	2.601810168
686	2.598029918
687	2.595990125
688	2.590012715
689	2.585350263
690	2.580964263
691	2.577745141
692	2.57347169
693	2.566072249
694	2.565279534
695	2.56184937
696	2.561571236
697	2.558263117
698	2.555396934
699	2.552481808
700	2.549793685
701	2.547667732
702	2.544972874
703	2.53964292
704	2.536618853
705	2.534126076
706	2.527298262
707	2.526414871
708	2.524348151
709	2.522208116
710	2.521202648
711	2.52116704
712	2.519730868
713	2.515720287
714	2.512719097
715	2.509750897
716	2.5057792
717	2.504832637
718	2.500944771
719	2.500771342
720	2.500676604
721	2.49985231
722	2.497485111
723	2.494846801
724	2.490430063
725	2.488828513
726	2.483817863
727	2.479993028
728	2.475530943
729	2.469116029
730	2.465431061
731	2.459912646
732	2.458605633
733	2.456856508
734	2.455996169
735	2.450924777
736	2.449040796
737	2.445153677
738	2.441874437
739	2.440257457
740	2.43474049
741	2.429002858
742	2.424712153
743	2.420379476
744	2.41916012
745	2.413363841
746	2.413326717
747	2.411156866
748	2.409410232
749	2.404420164
750	2.400357819
751	2.398704666
752	2.396311218
753	2.393233079
754	2.388062441
755	2.385727478
756	2.381780137
757	2.380768495
758	2.377951796
759	2.373246623
760	2.369703087
761	2.363636484
762	2.360900298
763	2.358936702
764	2.357888938
765	2.35584945
766	2.350651919
767	2.346781509
768	2.344717879
769	2.341729752
770	2.338993933
771	2.334733262
772	2.332780304
773	2.331048779
774	2.32561178
775	2.323660407
776	2.320339741
777	2.317585015
778	2.314056142
779	2.312034717
780	2.307430674
781	2.303434538
782	2.300675221
783	2.298756384
784	2.297147811
785	2.295553849
786	2.293357524
787	2.288517544
788	2.28744036
789	2.284675483
790	2.283906699
791	2.281973423
792	2.277382248
793	2.275101448
794	2.271328805
795	2.26765985
796	2.265243602
797	2.263235085
798	2.259025829
799	2.255973652
800	2.250978111
801	2.248989541
802	2.245845966
803	2.243066723
804	2.241688598
805	2.241648679
806	2.236939878
807	2.234386761
808	2.232158019
809	2.231710122
810	2.229207203
811	2.228210289
812	2.226308483
813	2.224342894
814	2.219793824
815	2.213681797
816	2.20836403
817	2.20833688
818	2.20547191
819	2.199230152
820	2.195634019
821	2.193139329
822	2.188699236
823	2.185257861
824	2.180854425
825	2.17834785
826	2.177060875
827	2.17430199
828	2.171818992
829	2.16723769
830	2.165690764
831	2.162407904
832	2.157626868
833	2.155125894
834	2.153657317
835	2.149506777
836	2.148472753
837	2.14510414
838	2.139611105
839	2.138977684
840	2.138954105
841	2.134812773
842	2.13321947
843	2.128853009
844	2.126106802
845	2.123211766
846	2.120955427
847	2.118698698
848	2.114556553
849	2.11105416
850	2.110272356
851	2.10851355
852	2.107128314
853	2.105686872
854	2.103099547
855	2.099359301
856	2.095554555
857	2.093283507
858	2.092194517
859	2.091609076
860	2.08890424
861	2.083093332
862	2.080294554
863	2.078961012
864	2.074494998
865	2.072530515
866	2.071025344
867	2.069018317
868	2.068536489
869	2.065690668
870	2.061823629
871	2.061217928
872	2.059980302
873	2.057906841
874	2.055895594
875	2.055527167
876	2.053511975
877	2.050408364
878	2.045986845
879	2.044870164
880	2.042581401
881	2.04148684
882	2.039338155
883	2.033628266
884	2.029951409
885	2.02744835
886	2.025191357
887	2.022667074
888	2.020860178
889	2.020294429
890	2.019468054
891	2.016124377
892	2.013177373
893	2.00862427
894	2.006730106
895	2.006606035
896	2.00342338
897	1.999263158
898	1.996012371
899	1.994396021
900	1.992217102
901	1.986874889
902	1.983687367
903	1.979340766
904	1.977608742
905	1.976000059
906	1.974121987
907	1.971526368
908	1.97149257
909	1.970239522
910	1.964927842
911	1.96265692
912	1.961310565
913	1.959023393
914	1.956068536
915	1.954721515
916	1.954710236
917	1.953616569
918	1.953564789
919	1.95092507
920	1.949209757
921	1.944709172
922	1.944131694
923	1.942579406
924	1.941465212
925	1.939886001
926	1.938258124
927	1.933397559
928	1.931997973
929	1.931500643
930	1.929122322
931	1.925563978
932	1.924335313
933	1.923112896
934	1.920277468
935	1.917053602
936	1.916188562
937	1.914559358
938	1.912371806
939	1.910662615
940	1.907753769
941	1.905467059
942	1.902511101
943	1.899877544
944	1.896127737
945	1.893505525
946	1.89067638
947	1.889094045
948	1.886845784
949	1.886816168
950	1.884710865
951	1.881894399
952	1.881058946
953	1.877442467
954	1.876347697
955	1.874997998
956	1.873087968
957	1.871647125
958	1.869423553
959	1.86940259
960	1.8672071
961	1.86541755
962	1.861874127
963	1.860283258
964	1.859892539
965	1.858253742
966	1.856910109
967	1.85551318
968	1.853846448
969	1.853832552
970	1.852168113
971	1.851172847
972	1.848781661
973	1.847128921
974	1.846012232
975	1.845763532
976	1.844736827
977	1.840702273
978	1.837764047
979	1.834707522
980	1.833966123
981	1.829177082
982	1.826805587
983	1.823983453
984	1.820789354
985	1.820454696
986	1.820355778
987	1.818152137
988	1.816227055
989	1.814662477
990	1.811943513
991	1.811917789
992	1.810279067
993	1.808800772
994	1.80683831
995	1.804890318
996	1.800383162
997	1.79928648
998	1.798172819
999	1.797593234
